"Location UID","line1","line2","lin3","town","county","post code"
"00b45549-f1da-40a4-8696-3f3c1ce42723","Camborne Office","The Community Centre","South Terrace","Camborne","Cornwall","TR14 8SU"
"52dab122-04e9-46ae-8eb6-5654ab4e9a96","48 Allport Road","",,"Cannock","Staffordshire","WS11 1DY"
"a77937bd-6f1f-4e7e-94e0-07817cd7ba2c","3 Westgate Hall Rd","",,"Canterbury","Kent","CT1 2BT"
"18ef0b7d-b13a-4284-9765-aa888aa4ba09","Napier Street","",,"Cardigan","Ceredigion","SA43 1ED"
"234fd904-6288-49a9-8d59-f46439ab9060","68 Parkgate Road","Sutton",,"Wallington","Surrey","SM6 0AH"
"ddf6eedb-b007-49a1-9def-64778c2ed38d","120 Rushey Green","","","Catford","London","SE6 4HQ"
"2fd87784-c67f-44dc-87f0-615412a731f0","Ashfield Road","",,"Cheadle","Greater Manchester","SK8 1BB"
"ecb39ba7-ad9e-4dca-b3a6-904bc3421436","Burgess Well House","Coval Lane",,"Chelmsford","Essex","CM1 1FW"
"2f983556-aa19-4142-9913-5b788e3c10dc","The Gate House","High Street",,"Chepstow","Monmouthshire","NP16 5LH"
"7b8fa4cf-bbdf-4640-b76e-3d7bea15cc34","The Bluecoat","Upper Northgate Street",,"Chester","Cheshire","CH1 4EE"
"ab2c8960-d3f2-49fb-98ac-028b3ff81398","6-8 Broad Pavement","",,"Chesterfield","Derbyshire","S40 1RP"
"d38d399a-db2b-49cd-b50a-1804f02b52de","Chipping Norton Health Centre","Russell Way",,"Chipping Norton","","OX7 5FA"
"c554946e-7b79-4446-b2cd-d930f668e54b","35-39 Market Street","",,"Chorley","Lancashire","PR7 2SW"
"b3eab1f3-f7c1-4f9f-88a3-841500497c08","2 Sopers Lane","",,"Christchurch","Dorset","BH23 1JG"
"8874909a-073a-4527-96c6-832d8cc8b8e3","Mayfair Community Centre","Easthope Road",,"Church Stretton","Shropshire","SY6 6BL"
"92474082-3108-4895-bc06-7173767fbdd9","18 Carnarvon Road","",,"Clacton-on-Sea","Essex","CO15 6QF"
"422053c7-d42b-439d-8a61-e51ce33b49f8","Council Offices","North West",,"Coalville","Leicestershire","LE67 3FJ"
"768a7e30-bbf4-4d06-95fa-34714fd23f7f","Blackburn House","32 Crouch Street",,"Colchester","Essex","CO3 3HH"
"41214e8d-9dfc-4f2f-9e58-8bf08c51001c","77 Medomsley Road","",,"Consett","","DH8 5HN"
"03f61630-9e42-4ddf-bdd1-d124b846d88e","The Corby Cube","Parkland Gateway","George Street","Corby","Northamptonshire","NN17 1QG"
"3af63faf-0e86-48f7-a00d-8e74216d49f7","Canolfan Ni Community Centre","Blas Ar Fyw","London Road","Corwen","Denbighshire","LL21 0DP"
"26f675df-fbc6-41a2-9594-485c2052ec2e","Kirby House","Little Park Street",,"Coventry","West Midlands","CV1 2JZ"
"795b0da6-2453-4d68-8ef5-8ba366090e76","St Andrews Church Hall","Newmarket Street",,"Skipton","North Yorkshire","BD23 2JE"
"72d3d480-c06c-4328-94b6-8a55a508e04f","Craven Arms Medical Practice","20 Shrewsbury Road","Craven Arms","","Shropshire","SY7 9PY"
"5e26a381-eedd-413e-b30e-4c05528efaec","The Orchard","1-2 Gleneagles Court","Brighton Road, Southgate","Crawley","West Sussex","RH10 6AD"
"59f95c47-a6f9-4abe-a0e4-5643bc616c95","50 Victoria Street","",,"Crewe","Cheshire","CW1 2JE"
"18dd46fc-dbd5-4e61-950d-60238ef74069","Dacre House","19 Hillfield Road",,"Hemel Hempstead","Hertfordshire","HP2 4AA"
"ee399dec-f9c2-4201-b27f-e3da114d3e17","Bennet House","14 Horsemarket","","Darlington","County Durham","DL1 5PT"
"7c851efd-3bda-4035-9092-5ed3c13d7d5b","Trinity Resource Centre","High Street",,"Dartford","Kent","DA1 1DE"
"a4ef3b80-989c-4dc9-9059-15af609c55c8","The Abbey","Market Square",,"Daventry","Northamptonshire","NN11 4XG"
"b55df4eb-5461-4350-86fd-9945f4444bec","Cable Street","Off Tuscan Way","Connah's Quay, Flintshire","Deeside","Flintshire","CH5 4DZ"
"a75c52c0-7b36-42b5-b965-73c8949c252d","23 High Street","",,"Denbigh","Denbighshire","LL16 3HY"
"5ee835cb-f806-45f7-8bbf-b8252a647df0","Stuart House","Green Lane",,"Derby","Derbyshire","DE1 1RS"
"34da8c77-39ce-43b6-88bf-7029803525f0","New Park Street","Devizes",,"","Wiltshire","SN10 1DY"
"783722f2-e28c-4215-bb91-a4ffa6a5fee9","Units 5/6 Empire House","Wakefield Old Road","Dewsbury","","West Yorkshire","WF12 8DJ"
"a03d34f8-5939-4851-82e1-7bc48bea01d1","Dales'","9-15 High Street",,"Didcot","Oxfordshire","OX11 8EQ"
"b63c56e9-2111-43cc-bb72-c58ad4053bfc","Shelfanger Road","",,"Diss","Norfolk","IP22 4EH"
"5f9d8ea1-fd4d-44ed-aa7b-54aa0973bc53","Doldir","",,"Dolgellau","Gwynedd","LL40 1HA"
"63c2cdbc-a3b5-414d-b88e-805d5d108ff8","Dorchester Library","Charles Street","","Dorchester","","DT1 1EF"
"fff72733-cdf4-4142-b57b-0f7361fc0549","Maison Dieu Gardens","Maison Dieu Road",,"Dover","Kent","CT16 1RW"
"886a161a-41ca-4366-9b51-75ce94aa23fb","54 North Road ","","","Durham","County Durham","DH1 4SF"
"e82acef5-154c-4fc9-ba0b-be00ca074d08","The New Library","May Lane",,"Dursley","Gloucestershire","GL11 4JE"
"04893a8d-d145-4b62-aaee-7db8d7106a12","Unit 6","Highlight House","8 St Leonards Road","Eastbourne","East Sussex","BN21 3UH"
"d3346ea8-a1d9-467a-ba4e-62f229d97964","101 Leigh Road","",,"Eastleigh","Hampshire","SO50 9DR"
"8704f746-e4a4-4c79-92c9-6bc3ca784f47","The Eden Centre","Four Elms Road","Sevenoaks District","Edenbridge","Kent","TN8 6BY"
"ee8c30a5-0704-4ae6-b765-2e9b9b1cbdd2","1 Whitby Road","Ellesmere Port",,"Ellesmere Port","Cheshire","CH65 8AA"
"c751d1c7-39a2-46d9-ab10-ff5a57060fe9","The Library","6 The Cloisters","","Ely","Cambridgeshire","CB7 4ZH"
"657a523b-f14f-46b9-9024-5b51ddcf1e8e","Jasmine Centre","Cowbridge Road West","Ely","Cardiff","","CF5 5BQ"
"1cc67bbb-b879-4def-8713-99255a0bce03","Unit 3","Vincent House","2E Nags Head Road, Ponders End","Enfield","Middlesex","EN3 7FN"
"30bbcc52-5a4a-4d13-bd67-f7174ae7a05e","The Old Town Hall","The Parade",,"Epsom","Surrey","KT18 5AG"
"7cf8e2b2-f04d-42df-a1db-7e3e701a354c","Dix's Field","",,"Exeter","Devon","EX1 1QA"
"43fcab23-b01f-4805-a34d-e7edb77b65ce","Town Hall","St Andrews Road","","Exmouth","Devon","EX8 1AW"
"36677c88-bf6c-482c-96fa-72c7b1cf94d7","Mulberry Passage","Market Strand",,"Falmouth","Cornwall","TR11 3DB"
"df6fdf18-e089-49a1-9453-1400d55b96e9","Elles Hall","Meudon Avenue",,"Farnborough","Hampshire","GU14 7LE"
"7f164b45-3693-4195-80b9-b57a1e3eabb6","2-6 Orwell Road","",,"Felixstowe","Suffolk","IP11 7HD"
"374078f4-aaf3-4b38-a577-b11484faa36f","Civic Offices","Harlington Way",,"Fleet","Hampshire","GU51 4AE"
"bdcdaad8-971b-4bb8-af75-35e820fe5317","Council Offices","Moor Street","Kirkham, Fylde","Preston","Lancashire","PR4 2AU"
"ed5ca339-eaa8-43c5-91c7-dc01a7d1897e","Garston Community House","Garston Village","2 Speke Road","Liverpool","Merseyside","L19 2PA"
"df0bc039-00d4-4173-9a26-e60a3e84e7c4","The Courtyard","Newbury Court",,"Gillingham","Dorset","SP8 4QX"
"621e287d-3688-433b-8918-7a18ea0e391b","75-81 Eastgate Street","",,"Gloucester","Gloucestershire","GL1 1PN"
"f3bab6f3-2c0a-4ff2-95b1-660e18d5ae4d","80 Pasture Road","","","Goole","East Yorkshire","DN14 6HD"
"e7a0fd65-c086-40f9-82c2-c1dd905a48d6","Guild Hall Arts Centre","St Peters Hill",,"Grantham","Lincolnshire","NG31 6PZ"
"bec4686b-c37f-4891-8c14-0ec4be8f5807","First Floor Civic Centre","Windmill Street",,"Gravesend","Kent","DA12 1AU"
"7639e7eb-3e62-4d2d-a34c-d2c9622ce72e","DIAL Great Yarmouth","Kingside","26-27 King Street","Great Yarmouth","Norfolk","NR30 2NZ"
"9a26cf40-f81a-4d02-80e8-94d4c0deaf35","16 Town Hall Street","",,"Grimsby","North East Lincolnshire","DN31 1HZ"
"58784814-1ee9-498a-b856-501252e13024","15 - 21 Haydon Place","",,"Guildford","Surrey","GU1 4LL"
"bd464be9-8b9f-4a55-b3ef-a4a8f16ed41d","Belmont House","Rectory Lane",,"Guisborough","","TS14 7FD"
"95fe5264-276f-4f60-adfc-549673c11be0","37 Harrison Road","Calderdale",,"Halifax","West Yorkshire","HX1 2AF"
"c165d25e-f27b-4ce9-b3d3-e7415ebaa93c","551B Tottenham High Road","Haringey",,"London","","N17 6SB"
"f8c6f23c-0f24-4098-95a5-3cdccea9d663","13-15 East Gate","The High",,"Harlow","Essex","CM20 1HP"
"2121cbab-5fd8-4811-847c-1ba9966b969e","Audrey Burton House","Queensway",,"Harrogate","North Yorkshire","HG1 5LX"
"c8a52d5a-4136-4c0f-b7f2-4277cfb8c249","87 Park Road","",,"Hartlepool","","TS26 9HP"
"ff03a764-13c7-4fee-9318-f1bd412b4338","Havant Borough Council ","Public Service Plaza"," Civic Centre Road","Havant","Hampshire","PO9 2AX"
"1b1afb0c-4f85-488a-86cc-f8df1666a757","9 Victoria Road","Havering",,"Romford","","RM1 2JT"
"736a785a-82f6-4c86-b88e-6c5a4ef4691e","Pye Green Community Centre","Bradbury Lane",,"Hednesford","","WS12 4EP"
"13add958-5c9b-4128-88ca-ef26586e0660","32 Market Place","",,"Henley-on-Thames","Oxfordshire","RG9 2AH"
"d94d988f-2ef7-4796-8696-b45bcaa492bc","8 St Owen Street","",,"Hereford","Herefordshire","HR1 2PJ"
"7b3b976c-7f2f-4f8e-9a18-1ec43ff06518","Hillcroft","Rocky Lane","Heswall","Wirral","","CH60 0BY"
"568fddd8-69a7-4646-8528-4b1e8b202de7","The Community Centre","Gilesgate",,"Hexham","Northumberland","NE46 3NP"
"f2ca5441-6a04-4984-9b7a-8106e48dacdf","8 Easton St","High Wycombe District",,"High Wycombe","Buckinghamshire","HP11 1NJ"
"85b42928-a4b3-4a7f-8454-bc789c9df99c","Holt CAB","Kerridge Way",,"Holt","Norfolk","NR25 6DN"
"b9eed32c-d4c2-45c0-b20b-d060d60aba99","6 Victoria Terrace","",,"Holyhead","Anglesey","LL65 1UT"
"b115e9ff-bd4f-4a73-9f2e-ff4f04383309","The Old Library","Post Office Lane",,"Holywell","Flintshire","CH8 7LH"
"fdf2fa41-b0b7-44ae-a992-4409490dc9fb","Honiton Library & Information Centre","48-50 New Street","","Honiton","Devon","EX14 1BS"
"bc588eed-fc08-4448-b793-a287e417c2be","The Wilson Centre (1st floor)","Alfred Gelder Street","","Hull","East Yorkshire","HU1 2AG"
"5a19a532-87aa-478e-bc94-35d52d7e71dc","New Era Centre","Paradise Street",,"Accrington","Lancashire","BB5 1PB"
"f71a9a40-6cf5-4856-b9a4-f0ce551d93b4","The Albion Leisure Centre","East Street",,"Ilkeston","Derbyshire","DE7 5JB"
"1a1ce06e-6c37-42b1-a99e-b3fafd5705af","Isle Help Advice Hub","7 High Street",,"Newport","Isle of Wight","PO30 1SS"
"018bf0b5-ddb7-45a7-ba88-1e1bfd88ca35","Central Hall","Alice Street",,"Keighley","West Yorkshire","BD21 3JD"
"42db5cdf-486a-47f9-b0d6-5983aade21a3","Municipal Offices","Bowling Green Road",,"Kettering","Northamptonshire","NN15 7QX"
"c481d0a6-dccb-4f52-bfa0-57aba00a2560","Kidlington CAB","Exeter Hall",,"Kidlington","Oxfordshire","OX5 1AB"
"471be5a2-88c4-4a8f-9c95-ab92bc44d1b8","Wimborne Road","Kinson",,"Bournemouth","Dorset","BH11 9AW"
"cb0f17fa-2763-4177-b696-1708822167fb","87 King Street","","","Lancaster","Lancashire","LA1 1RH"
"50811d53-741f-4a42-8489-ded0f3515348","10 Hamilton Terrace","",,"Leamington Spa","Warwickshire","CV32 4LY"
"91b67ee6-f131-44d1-a05e-aac1306adba4","Westminster Buildings","31 New York Street",,"Leeds","West Yorkshire","LS2 7DT"
"fdcde285-37fd-4858-b00a-4ee31b4488b1","3rd Floor","60 Charles Street",,"Leicester","","LE1 1FB"
"00b7fb86-cb85-4b7a-a454-e037ee0811f9","Bossard House","West Street",,"Leighton Buzzard","Bedfordshire","LU7 1DA"
"77d003f9-976d-4eb2-8703-715b698b96d4","Multi-Agency Office","Conningsby Road",,"Leominster","Herefordshire","HR6 8LL"
"88aac83b-2bec-409d-ad0e-21fc81398d6c","Beaumont Lodge","Beaumont Fee",,"Lincoln","Lincolnshire","LN1 1UL"
"217ce382-c726-4723-9f0d-d79daed8681c","Duchy House","21 Dean Street",,"Liskeard","Cornwall","PL14 4AB"
"964eff71-cb06-472a-be42-02d9eb67b17a","14-16 Anchor Springs","",,"Littlehampton","West Sussex","BN17 6BP"
"6b042dfe-70a8-4ab0-ab9d-372c2da7b407","PCC County Hall","","","Llandrindod Wells","Powys","LD1 5LG"
"e8fa2ad0-9b45-418e-93ef-120c79cdb487","District Office","Eryl Wen","Eryl Place","Llandudno","Conwy","LL30 2TX"
"26c38b1b-59e3-4c52-9390-ef3b644dd60a","The Library","Learning & Community Centre","Countisbury Avenue","Cardiff","","CF3 5NQ"
"b7845e3e-ced9-4464-91c9-39150958e319","Woodgate Chambers","70 Woodgate",,"Loughborough","Leicestershire","LE11 2TZ"
"689bb0ad-a020-4fa0-b2c0-750867a2ccc2","Unit 1","Meridian House","41 Eastgate","Louth","Lincolnshire","LN11 9NH"
"965140f6-a3bd-487a-88d2-1ec9af471afd","Ludlow Youth Centre","Lower Galdeford",,"Ludlow","Shropshire","SY8 1RT"
"73a17511-8f2f-4753-bf3b-d7fb9fc7ad3e","One Stop Shop","Wycliffe House","Gilmorton Road, Leicester","Lutterworth","Leicestershire","LE17 4DY"
"3f98cce4-bae3-4842-951d-65b741d22feb","Sunderland House","Sunderland Street","Cheshire East","Macclesfield","Cheshire","SK11 6JF"
"815302b5-a2ae-43c6-9c8f-2a2b879f30d8","4 Marlow Road","",,"Maidenhead","Berkshire","SL6 7YR"
"c3dcaac8-ce2e-40ee-9bb7-fddae7879fbb","Malvern Heights","Chequers Close","Enigma Business Park","Malvern","Worcestershire","WR14 1BF"
"38fe9633-d556-4e96-ab99-518eeaf7d2a7","Swan Buildings","20 Swan Street",,"Manchester","Greater Manchester","M4 5JW"
"7a575fa1-4886-4df6-8242-e9d0fc022dbf","Advicehub","16 Regent Street",,"Mansfield","Nottinghamshire","NG18 1SS"
"ce33c3ba-0dbc-452d-85eb-fd96d759431c","Hollins House","Memorial Park","Marple","Stockport","Greater Manchester","SK6 6BA"
"44c35d0e-0ba9-4cf8-ae50-d13d6867d215","Town Hall","Bank Road",,"Matlock","Derbyshire","DE4 3NN"
"184fcd75-7196-4be3-8541-bf2adad929d2","3 Bolckow Street","","","Middlesbrough","Cleveland","TS1 1TH"
"4bd10e4e-c2ea-4849-9f60-ae7383d7123c","Acorn House","361 Midsummer Boulevard",,"Milton Keynes","Buckinghamshire","MK9 3HP"
"848a0ab6-d59f-4f4c-93fb-acc0360af89d","Kellaway House","326 London Road","Merton & Lambeth","Mitcham","Surrey","CR4 3ND"
"a4c87f83-000b-4fcf-9282-6b6241f9d44b","The Annexe Terrig House","Chester Street","Mold","","Flintshire","CH7 1EG"
"733d414d-900b-4d60-8af1-87ba0b4405a0","23a Whitecross Street","",,"Monmouth","Monmouthshire","NP25 3BY"
"253a5060-9fc7-4936-8ab2-805b8ac0e781","7 Crown Parade","Crown Lane","Merton","Morden","Surrey","SM4 5DA"
"9a917b33-cd06-40f3-85c6-4247d78f2a37","Oban House","87-89 Queen Street","North West","Morecambe","Lancashire","LA4 5EN"
"b6ee034b-9b0d-4e50-8dcb-af1e32c72bd4","2nd Floor, Broadway House","4-8 The Broadway","Northbrook Street","Newbury","Berkshire","RG14 1BA"
"d257eadc-b798-4c86-ab8a-a521bf2028bb","8 Corn Street","",,"Newport","Gwent","NP20 1DJ"
"afaa3994-8bb1-403b-9f68-74ec2e60a638","The Public Library","Marcus Hill",,"Newquay","Cornwall","TR7 1BD"
"079ab7f9-2105-4aef-839a-0dea6691aaaf","36-38 Market Walk","",,"Newton Abbot","Devon","TQ12 2RX"
"a371284c-681f-4da5-9d4f-c3f6b24620b3","2 Pease Way","Newton Aycliffe","County Durham","","","DL5 5NH"
"fef02333-6563-4643-b4dd-68224090d395","Ladywell House","Frolic Street Entrance","Park Street","Newtown","Powys","SY16 1QS"
"285c78f4-5c24-486c-b498-cc7c7ed0b533","138 Scargreen Avenue","Norris Green",,"Liverpool","Merseyside","L11 3BE"
"aaf2967c-871a-49f6-9912-c2483879879f","277 High Street","",,"Northallerton","North Yorkshire","DL7 8DW"
"d4303701-3b39-4ede-b001-3b7234b05478","Town Centre House","7/8 Mercers Row",,"Northampton","Northamptonshire","NN1 2QL"
"13e12f95-f709-4536-b6ee-8d7a735ddf9f","The Badger Centre","3-6 Wadham Street","Weston-Super-Mare","","Somerset","BS23 1JY"
"97b5ad4d-eb7f-4040-96ce-b7f7f06836cf","Meadow Court","Meadow St",,"Northwich","Cheshire","CW9 5FP"
"c26be4e6-5460-4a95-a921-36b32854ffb9","The Ockment Centre","North Street",,"Okehampton","Devon","EX20 1AR"
"76f91e15-97d3-4de7-ae85-7d3abb91dcbb","1-2 Ascroft Court","Peter Street",,"Oldham","Greater Manchester","OL1 1HP"
"a04a2285-53e1-4ee9-959e-6aa546faf49e","34 Arthur Street","",,"Oswestry","Shropshire","SY11 1JN"
"6c12baec-ca22-491c-822a-94bb23eb5985","95 St Aldates","",,"Oxford","Oxfordshire","OX1 1DA"
"3b7e33a5-c2d1-41ca-8000-26fa6ec23f2a","29 Palace Avenue","",,"Paignton","Devon","TQ3 3EQ"
"beb75452-1762-4aa5-aa71-cf255a18f88e","38 Meyrick Street","Pembroke Dock",,"","Pembrokeshire","SA72 6UT"
"daf33c4a-0dde-4621-9379-3081f55bbcf8","Cornwall Council One Stop Shop","St Clare",,"Penzance","Cornwall","TR18 3QW"
"1812446c-77a1-462f-b356-a13b3c203658","16-17 St Mark's Street","",,"Peterborough","Cambridgeshire","PE1 2TU"
"c312229b-c96d-49d0-8362-4a3f746b3ac4","3rd Floor","Cobourg House","32 Mayflower Street","Plymouth","Devon","PL1 1QX"
"6cdd30bf-c736-4f5a-a780-4afd0cf2c361","Ark Royal House","Winston Churchill Avenue",,"Portsmouth","Hampshire","PO1 2GF"
"2e2a0a97-8a53-46a9-97a3-f7d68bf82997","Llys Cynan","12 Penlan Street","","Pwllheli","Gwynedd","LL53 5DH"
"a40d57f4-5a86-4e99-9ba7-ab2b5caf3636","38 Plains of Waterloo","","","Ramsgate","","CT11 8HX"
"a801a72d-91be-4a33-86a6-3d652cfc00d0","Minster Street","",,"Reading","Berkshire","RG1 2JB"
"8303d015-864e-4e5c-91f5-ca699103db32","Broadway Chambers","1 Cranbrook Road","Redbridge","Ilford","Essex","IG1 4DU"
"277ff824-fc1f-4ffb-bddd-0045a15e349b","5 Gelliwastad Road","",,"Pontypridd","Rhondda Cynon Taff","CF37 2BP"
"d9b55e78-2c11-44e3-a203-76c11070e334","11 Water Street","",,"Rhyl","Denbighshire","LL18 1SP"
"2bd6a3b1-39f5-4538-92db-797310f67f41","23 Newbiggin","",,"Richmond","North Yorkshire","DL10 4DX"
"be6781f2-9d3a-4683-89c4-8c58f39930c0","Park Road","",,"Risca","Caerphilly","NP11 6BJ"
"ac09e6bc-6022-453e-8648-1648829ade67","Stublee Hall","Stublee Park",,"Bacup","Lancashire","OL13 ODE"
"fdbab241-a9c5-48d0-be2c-146e39367d3f","Rossmore Community Library & Learning Centre","Herbert Avenue","","Poole","","BH12 4HR"
"557a457f-a687-42df-8fa5-18e26d6aaade","7 Brook Square","",,"Rugeley","Staffordshire","WS15 2DU"
"b33f76be-68de-4d1c-9702-a2bd1edb6398","Runcorn Office","Ground Floor","Grosvenor House","Runcorn","Cheshire","WA7 2HF"
"18c433f7-2359-4485-8a85-61d2e5f3ccfc","The Old Fire Station","Market Street",,"Ruthin","Denbighshire","LL15 1BE"
"cdf836e6-d09e-4c6b-9650-6cbdf31def80","Stanley Harrison House","Norton Road","Norton","Malton","North Yorkshire","YO17 9RD"
"66ae06cd-9cfe-426a-b088-07071e51323f","1 Waterside Plaza","",,"Sale","Greater Manchester","M33 7BS"
"9e533f12-e854-4df1-b3e9-fae93e648816","Ground Floor","18 Belle Vue Road",,"Saltash","Cornwall","PL12 6ES"
"2fdfd280-cc33-44ce-bf16-48a7422d559c","4 Elders Street","",,"Scarborough","North Yorkshire","YO11 1DZ"
"157ebf63-2249-4a5e-836e-e117d4228ed1","12 Oswald Road","",,"Scunthorpe","North Lincolnshire","DN15 7PT"
"f47c08e1-9322-4730-9059-c3aa97f49cf4","37 Church Street","",,"Seaford","East Sussex","BN25 1HG"
"ca857ea1-e51a-442d-937d-b7c720d91ecf","Clarence House","High Street","Bridgwater","Bridgwater","Somerset","TA6 3BH"
