"Location UID","line1","line2","lin3","town","county","post code"
"5ecc958b-33d6-4ef9-8a4d-ca6321b60be0","Rear of 4 Park Street","",,"Selby","North Yorkshire","YO8 4PW"
"54be01f2-44fc-435c-a6ca-48a43a95f78d","5 Chapel Street","Woodhouse",,"Sheffield","South Yorkshire","S13 7JN"
"fbe3408f-fe33-4099-8695-504e34fb1b8b","Proctor Place Office","Proctor Place",,"Sheffield","","S6 4HF"
"21be39b7-a9a0-43cc-a65a-b2cb4035810c","17 Station Street","",,"Sittingbourne","Kent","ME10 3DU"
"9e25f956-f8b2-47c5-9925-654e6e9bfc31","20 Algitha Road","",,"Skegness","Lincolnshire","PE25 2AG"
"32cd9a99-2605-40d4-aa11-455189bc33b0","Unit 47","The Concourse Shopping Centre",,"Skelmersdale","Lancashire","WN8 6LN"
"9ebfb9ed-ef7e-4f66-82b9-522e1d7bbd35","The Advice Centre","Money's Yard","Carre Street","Sleaford","Lincolnshire","NG34 7TW"
"b4124719-867e-4d99-aace-721fa583c6de","1 Church Road","",,"Southend-on-Sea","Essex","SS1 2AL"
"91ec2400-7653-44a7-b218-16722a939a23","48-50 Portland Road","South Norwood","Croydon","London","","SE25 4PQ"
"2d6b06d2-0311-48c0-b2cd-f316a14e3383","South Ribble Bureau","78 Towngate",,"Leyland","Lancashire","PR25 2LR"
"062d94cc-7cf7-48c6-b530-0dad5a5a616c","Edinburgh Buildings","2 Station Approach","South Tyneside","South Shields","Tyne & Wear","NE33 1HR"
"f6cb821f-d832-4bd6-9ee6-7aa55bc0c71e","Civic Centre","Gravel Hill","South Staffordshire","Wombourne","Staffordshire","WV5 9HA"
"8d9a5023-8ed4-4fa0-80cf-7605b784c8b8","Council Offices","Priory Road",,"Spalding","Lincolnshire","PE11 2XE"
"64f46eb9-de5d-4227-b9fb-de3bdfcfe602","17 Eastgate Street","(opposite The Royal British Legion)",,"Stafford","Staffordshire","ST16 2LZ"
"a22125cd-42a9-479b-ac3e-524ec33a6357","The Signpost Centre","Auden Way","Highfields","Stafford","","ST17 9TX"
"34416475-8704-4240-9bbc-6cf9a68cf7ac","Civic Centre","",,"St Albans","Hertfordshire","AL1 3JE"
"1025f5d1-f403-4c37-90fc-39aeb2e3f04e","The Hub @ Stalbridge","Station Road",,"Stalbridge","","DT10 2RG"
"06bd7d95-480d-4827-b241-07d3450c30e9","39 High Street","",,"Stamford","Lincolnshire","PE9 2BB"
"4ed28a06-d450-4afe-821e-3284db714887","39 Penwinnick Road","",,"St Austell","Cornwall","PL25 5DS"
"d4397efb-65f3-4d93-ad1d-2e5272197c8f","Swingate House","Danestrete",,"Stevenage","Hertfordshire","SG1 1AF"
"96418ee8-10ec-4fca-822d-374ddd87a282","Millennium Centre","Corporation Street","St Helens","","Merseyside","WA10 1HJ"
"8ffb927e-ceea-4db7-a373-a9f335428b8b","Bath Lane","",,"Stockton-on-Tees","Cleveland","TS18 2DS"
"275a86f9-e35a-4ed4-af11-b3fd1fa6d4dc","Advice House","Cheapside","Hanley","Stoke-on-Trent","Staffordshire","ST1 1HL"
"59f2c959-3b8e-4695-90a5-3d747ccbf5fd","Stone Town Council Offices","15 Station Road",,"Stone","Staffordshire","ST15 8JP"
"a99eeac3-14ad-4a3c-842f-005c76998aa5","5 Milton Road South","",,"Stowmarket","Suffolk","IP14 1EZ"
"d10a1682-43d0-4d2d-b1d4-08bb4dc4f4e0","25 Meer Street","",,"Stratford Upon Avon","Warwickshire","CV37 6QB"
"3ab516af-6735-4523-bf24-370b09f02ff4","1 Barrhill Road","Streatham Hill",,"London","","SW2 4RJ"
"04c29b5f-a199-4acd-a2d7-5369ff9a52f2","Llys Glas","Pleasant Street",,"Swansea","","SA1 5DS"
"078b2515-bd52-459f-839f-49dc9034eb33","Sanford House","College Street entrance",,"Swindon","Wiltshire","SN1 1QH"
"9a4a6e92-5245-4eec-bd0f-3765ad806986","Franklin Avenue","",,"Tadley","Hampshire","RG26 4ET"
"7f916cf6-d2bd-4bcc-90dc-594207c8b1f4","St Mary's House","Magdalene Street",,"Taunton","Somerset","TA1 1SB"
"10e931e1-6d16-4059-a605-375091837ae2","Teignmouth Library","Fore Street",,"Teignmouth","Devon","TQ14 8DY"
"d068e1ea-ecb1-46f5-911d-c4b3f028ea28","Market House","North Street",,"Thame","Oxfordshire","OX9 3HH"
"4fb0d305-890b-4f98-a543-ec2061c0122f","Level 3","Breckland House",,"Thetford","Norfolk","IP24 1BT"
"edac0003-4ef8-40b0-8d03-91753f37e01c","45 Gwent Square","Torfaen",,"Cwmbran","","NP44 1PL"
"07a0876e-8b64-4cae-a13b-e2099497d29f","11 Castle Road","",,"Torquay","Devon","TQ1 3BB"
"fcc361d4-e5b2-4d24-998a-6aeaa2f51628","Follaton House","Plymouth Road",,"Totnes","Devon","TQ9 5NE"
"1a1ad00f-d967-448a-a4a6-772369fa5087","32 Greatorex Street","",,"Tower Hamlets","London","E1 5NP"
"0403bb4a-fdbf-4a47-a080-c860bae9703e","1 Mill Street","",,"Trowbridge","Wiltshire","BA14 8BE"
"08589a48-2974-4be8-beb6-302e5b104a85","The Library","Union Place",,"Truro","Cornwall","TR1 1EP"
"8f664efa-b15a-4e44-9ee6-07befe5a85f9","5th Floor Vale House","Clarence Road",,"Tunbridge Wells","Kent","TN1 1HE"
"3d907c55-3d54-4de9-b965-5f3c1181c40d","5th Floor","Regal House","70 London Road, Richmond","Twickenham","Middlesex","TW1 3QS"
"4a0ee3d5-349c-4dc5-b1f5-a268e8fbfb4b","744-746 Warwick Road","Tyseley",,"Birmingham","West Midlands","B11 2HG"
"7c00741c-0f7c-436d-ad27-1a503693192e","The Hub","Civic Approach",,"Uckfield","East Sussex","TN22 1AL"
"8d019efb-5179-4eda-a220-49fe902e78ff","Ground Floor","27 King Street",,"Wakefield","West Yorkshire","WF1 2SR"
"b74d759c-b95d-4570-b6b6-08b8776fbcf7","237-243 Liscard Road","",,"Wirral","Wallasey","CH44 5TH"
"cb30f26c-15c3-4ab1-b74b-be5cf8d368b7","St Lukes Church House","Hugh Street","","Wallsend","Tyne & Wear","NE28 6RL"
"63036131-1109-41b0-93af-3a0b600b176b","144 Lichfield Street","(opposite The Town Hall)","","Walsall","West Midlands","WS1 1SE"
"f483b135-64aa-4f99-8284-c413fcfa2392","37/39 Walton Road","",,"Liverpool","Merseyside","L4 4AD"
"21ff5ffb-731e-45fe-8745-6e572d0fa2ea","The Gateway","89 Sankey Street",,"Warrington","Cheshire","WA1 1SR"
"40e19ef9-f7d2-49e7-8a51-8316fa29a830","The Elms","19 Front Street","Concord","Washington","Tyne & Wear","NE37 2BA"
"37c7c022-8215-4afc-b99e-77f541f5c5b8","St Mary's Churchyard","High St",,"Watford","Hertfordshire","WD17 2BE"
"31f65492-47b7-4864-9b42-4610c3b279b7","2b High Street","Wellingborough",,"Wellingborough","Northamptonshire","NN8 4HR"
"7617f65b-af64-482b-a4d9-2963977cb28f","Guildhall","Marshall’s Yard",,"Gainsborough","Lincolnshire","DN21 2NA"
"15fd41b2-439a-448a-b775-b2b61e16d4bb","21a Conduit Place","",,"London","","W2 1HS"
"43baaf7b-7c38-42cf-84ce-7f2081a760f5","2 Mulberry Terrace","Great George Street",,"Weymouth","Dorset","DT4 8NQ"
"a9c18d50-4823-40b6-9ba9-3885e52e23d0","Church House","Flowergate",,"Whitby","North Yorkshire","YO21 3BA"
"8f468199-27bb-48a7-aad7-66ded9ee29f5","Whitchurch Civic Centre","High Street",,"Whitchurch","","SY13 1AX"
"9393a3da-1910-408d-98cb-9f317d8d4289","Unit 3","Victoria Buildings","Lugsdale Road","Widnes","Cheshire","WA8 6DJ"
"da4d9366-12a9-4f75-aae9-abc8e77c364f","2nd Floor Wigan Life Centre","The Wiend",,"Wigan","Greater Manchester","WN1 1NH"
"6def2ba5-623a-4fe9-a398-dcc45cc1be5e","First Floor The Library","Ellerthwaite Road",,"Windermere","","LA23 2AJ"
"df38d9b9-e9a9-4bf0-b56b-4309965b815c","The Brunner Guildhall","High Street",,"Winsford","Cheshire","CW7 2AU"
"b4aa9b5f-2a68-4668-a715-a1e78614a613","The Library","Ely Place","","Wisbech","Cambridgeshire","PE13 1EU"
"2922aaf2-a3c9-4c89-8fe5-014c61199569","The Old Print House","Marlborough Lane",,"Witney","Oxfordshire","OX28 6DY"
"2044b7e6-c819-43a8-8c3f-f239c9a28aa6","William Leigh House","15 Walsall Street","Bilston","Wolverhampton","West Midlands","WV14 0AT"
"12481dc1-e871-4f64-9a3f-5ca3ac58c1a1","26 Snow Hill","","","Wolverhampton","West Midlands","WV2 4AD"
"dfad96fe-c421-4ffe-8aa8-5061b2c26195","The Old Glove Factory","13a Lowesmoor",,"Worcester","","WR1 2RS"
"2c5f6936-fcac-45c2-9143-72368351e2fe","The Annexe","Queens Building","District of Bassetlaw","Worksop","Nottinghamshire","S80 2AE"
"adbdad96-4d54-4ce0-ac1f-86bc55957baa","35 Grosvenor Road","",,"Wrexham","","LL11 1BT"
"de610217-c5da-41c7-b847-48f660a1da38","122 Poulton Road","",,"Fleetwood","Lancashire","FY7 7AR"
"83104442-53bb-4539-88db-5797cf1e51ab","21-23 New Road","",,"Kidderminster","Worcestershire","DY10 1AF"
"7a685e35-84e4-4db6-abaa-f83f8cafd8d8","Kennedy Way","",,"Yate","South Gloucestershire","BS37 4DQ"
"c5b2f6c8-c8f3-4f00-ba8a-c8afa4e4fe69","Royal Oak Close","",,"Yateley","Hampshire","GU46 7UD"
"b5920e4c-ac91-49c3-8923-3efd10292db2","Petters House","Petters Way",,"Yeovil","Somerset","BA20 1SH"
"374dea4f-b9f8-45a5-8795-99f3b2a03edd","West Offices","Station Rise",,"York","North Yorkshire","YO1 6GA"
"6e30c892-6361-4c5d-a2d6-1cd767a46d82","Welfare Hall","Brecon Road","Ystradgynlais","","Powys","SA9 1JJ"
